Date,Open,High,Low,Close,Volume,Adj Close
1994/7/21,26.625,28.500001,26.500001,28,72368800,0.914653
1994/7/20,27.375001,27.625,26.375,26.625,54342400,0.869737
1994/7/19,28.625001,28.75,27.375001,27.6875,29092000,0.904445
1994/7/18,28.125,29,28,28.374999,19107200,0.926903
1994/7/15,28.234301,28.625001,27.5,28.249999,23741200,0.92282
1994/7/14,29.625,29.75,28.249999,28.625001,45166800,0.93507
1994/7/13,28.500001,30.250001,28.500001,29.687499,112565600,0.969777
1994/7/12,27,28.4375,26.375,28.374999,60578000,0.926903
1994/7/11,27.125,27.375001,26.625,27,26605600,0.881987
1994/7/8,26.500001,27.625,26.500001,27.0625,52057600,0.884029
1994/7/7,25.875,27,25.5,26.8125,42537600,0.875862
1994/7/6,26.25,26.500001,25.999999,26.125,24346000,0.853404
1994/7/5,25.625001,26.75,25.625001,26.500001,21462000,0.865654
1994/7/1,26.375,26.500001,25.375,25.75,44819600,0.841154
1994/6/30,26.25,26.874999,26.25,26.500001,25432400,0.865654
1994/6/29,26.75,27.125,25.875,26.125,33891200,0.853404
1994/6/28,26.25,27.125,25.625001,26.75,43556800,0.87382
1994/6/27,25.25,26.25,24.625,26.25,63988400,0.857487
1994/6/24,25.124999,26.125,24.750001,25.609299,73214400,0.836558
1994/6/23,26.25,26.25,24.875,25.124999,50974000,0.820738
1994/6/22,26.25,26.75,25.999999,26.25,28464800,0.857487
1994/6/21,26.874999,27.25,25.75,25.999999,60818800,0.849321
1994/6/20,26.25,27.25,25.999999,27.125,49974400,0.88607
1994/6/17,25.999999,26.75,25.875,26.500001,56123200,0.865654
1994/6/16,27.749999,27.749999,26.125,26.375,54555200,0.861571
1994/6/15,27,28,26.874999,27.812501,39869200,0.908528
1994/6/14,27.25,27.375001,26.625,27.0625,38589600,0.884029
1994/6/13,26.375,27.1875,26.375,27,23226000,0.881987
1994/6/10,27.125,27.375001,26.375,26.500001,35683200,0.865654
1994/6/9,25.625001,27,25.5,27,73382400,0.881987
1994/6/8,27.5,27.625,25.999999,26.125,68541200,0.853404
1994/6/7,27.25,27.749999,27.25,27.5,35061600,0.89832
1994/6/6,27.5,27.749999,27,27.375001,31508400,0.894237
1994/6/3,27.125,28,26.75,27.625,88421200,0.902403
1994/6/2,28.374999,28.500001,27.125,27.375001,96230400,0.894237
1994/6/1,28.500001,28.625001,27.875,28.249999,96440400,0.92282
1994/5/31,29.500001,29.500001,28.500001,29.249999,64349600,0.955486
1994/5/27,30.250001,30.75,29.500001,29.937501,27171200,0.977944
1994/5/26,31.5,31.5,30.250001,30.5,18258800,0.992395
1994/5/25,30.250001,31.749999,29.999999,31.250001,34028400,1.016798
1994/5/24,30.999999,31.250001,30.250001,30.75,31612000,1.000529
